Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Delta,Alpha,Beta,Gamma,Omega,Initial Position,Initial Velocity,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
16,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.1,1.2,1.0,0.0,30,3000,9.329923159384634e-06,0.002492785220965743,0.008220821619033813,0.999931275844574
17,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.2,1.2,1.0,0.0,30,3000,4.5104927266947925e-05,0.005013445392251015,0.026441633701324463,0.9998317360877991
18,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.0006685321568511426,0.018510131165385246,0.07901346683502197,0.9983448386192322
19,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.5,1.2,1.0,0.0,30,3000,9.270144073525444e-05,0.006304857786744833,0.060250818729400635,0.9998311400413513
20,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.8,1.2,1.0,0.0,30,3000,5.503697320818901e-05,0.005666076205670834,0.028988242149353027,0.999920666217804
21,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.1,1.2,1.0,0.0,30,3000,2.4675526219652966e-05,0.0038935248740017414,0.012268215417861938,0.9998338222503662
22,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.2,1.2,1.0,0.0,30,3000,0.00024391092301812023,0.011693465523421764,0.04887691140174866,0.9991766810417175
23,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.00013508171832654625,0.009871446527540684,0.03912299871444702,0.9996736645698547
24,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.5,1.2,1.0,0.0,30,3000,0.00010842736810445786,0.008256359957158566,0.029930055141448975,0.9997932314872742
25,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.8,1.2,1.0,0.0,30,3000,0.0007987773860804737,0.021346379071474075,0.07649236917495728,0.9987674355506897
